2020-04-26 00:48:00.222 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:07:35.655 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:07:35.675 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:07:35.708 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:07:53.219 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:07:53.376 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:07:53.554 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:07:53.616 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:07:53.641 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:07:53.701 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:07:53.732 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:07:53.866 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:07:53.867 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:07:53.911 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:07:53.932 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:07:53.953 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:07:53.981 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:07:53.999 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:07:54.046 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:07:54.109 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:07:54.136 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:07:54.142 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:07:54.165 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:07:54.188 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:07:54.199 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:07:54.211 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:07:54.756 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:12:39.810 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:13:26.102 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:13:26.137 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:13:26.293 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:13:26.331 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:13:26.360 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:13:26.453 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:13:26.478 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:13:26.656 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:13:26.664 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:13:26.710 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:13:26.725 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:13:26.737 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:13:26.772 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:13:26.812 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:13:26.925 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:13:27.068 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:13:27.124 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:13:27.134 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:13:27.191 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:13:27.217 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:13:27.225 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:13:27.242 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:13:44.973 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:13:45.048 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:13:45.214 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:13:45.251 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:13:45.269 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:13:45.343 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:13:45.365 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:13:45.608 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:13:45.609 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:13:45.658 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:13:45.694 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:13:45.746 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:13:45.812 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:13:45.836 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:13:45.918 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:13:46.013 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:13:46.085 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:13:46.120 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:13:46.185 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:13:46.229 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:13:46.239 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:13:46.253 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:13:47.278 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:14:08.765 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:20:15.057 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:20:15.102 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:20:15.187 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:20:15.229 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:20:15.242 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:20:15.298 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:20:15.325 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:20:15.439 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:20:15.447 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:20:15.481 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:20:15.497 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:20:15.527 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:20:15.546 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:20:15.560 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:20:15.618 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:20:15.737 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:20:15.822 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:20:15.836 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:20:15.854 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:20:15.867 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:20:15.876 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:20:15.887 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:23:11.287 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:23:11.339 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:23:11.449 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:23:11.489 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:23:11.521 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:23:11.618 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:23:11.642 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:23:11.840 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:23:11.841 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:23:11.901 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:23:11.934 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:23:11.950 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:23:12.000 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:23:12.014 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:23:12.105 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:23:12.200 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:23:12.248 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:23:12.256 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:23:12.288 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:23:12.324 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:23:12.343 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:23:12.356 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:23:13.029 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:25:09.698 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:30:18.071 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:30:18.108 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:30:18.229 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:30:18.264 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:30:18.290 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:30:18.371 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:30:18.383 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:30:18.572 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:30:18.573 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:30:18.613 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:30:18.628 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:30:18.649 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:30:18.669 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:30:18.682 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:30:18.777 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:30:18.864 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:30:18.918 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:30:18.924 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:30:18.954 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:30:18.981 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:30:18.987 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:30:19.007 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:33:12.405 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:33:12.423 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:33:12.476 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:33:12.496 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:33:12.508 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:33:12.533 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:33:12.544 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:33:12.619 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:33:12.619 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:33:12.654 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:33:12.666 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:33:12.679 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:33:12.700 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:33:12.712 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:33:12.771 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:33:12.823 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:33:12.855 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:33:12.863 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:33:12.889 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:33:12.915 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:33:12.921 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:33:12.927 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:33:13.532 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 01:37:10.871 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 01:45:30.794 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:45:30.857 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:45:30.990 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:45:31.039 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:45:31.074 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:45:31.149 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:45:31.166 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:45:31.295 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:45:31.296 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:45:31.338 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:45:31.360 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:45:31.371 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:45:31.404 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:45:31.424 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:45:31.491 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:45:31.572 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:45:31.610 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:45:31.617 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:45:31.655 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:45:31.679 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:45:31.690 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:45:31.712 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:48:24.386 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 01:48:24.404 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 01:48:24.431 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 01:48:24.442 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 01:48:24.450 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 01:48:24.461 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 01:48:24.463 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 01:48:24.518 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 01:48:24.518 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 01:48:24.534 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 01:48:24.540 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 01:48:24.546 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 01:48:24.558 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 01:48:24.565 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 01:48:24.588 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 01:48:24.610 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 01:48:24.624 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 01:48:24.628 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 01:48:24.636 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 01:48:24.649 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 01:48:24.654 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 01:48:24.659 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 01:48:25.010 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 05:13:51.424 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 05:14:41.865 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 05:14:41.947 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 05:14:42.081 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 05:14:42.114 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 05:14:42.144 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 05:14:42.230 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 05:14:42.246 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 05:14:42.430 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 05:14:42.431 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 05:14:42.476 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 05:14:42.513 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 05:14:42.536 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 05:14:42.581 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 05:14:42.599 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 05:14:42.730 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 05:14:42.825 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 05:14:42.872 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 05:14:42.895 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 05:14:42.952 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 05:14:42.978 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 05:14:42.990 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 05:14:43.017 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 05:15:04.981 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 05:15:05.045 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 05:15:05.187 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 05:15:05.229 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 05:15:05.239 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 05:15:05.383 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 05:15:05.419 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 05:15:05.740 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 05:15:05.745 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
2020-04-26 05:15:05.828 [info] <0.44.0> Application amqp_client started on node nonode@nohost
2020-04-26 05:15:05.858 [info] <0.44.0> Application amqp started on node nonode@nohost
2020-04-26 05:15:05.877 [info] <0.44.0> Application jason started on node nonode@nohost
2020-04-26 05:15:05.908 [info] <0.44.0> Application connection started on node nonode@nohost
2020-04-26 05:15:05.941 [info] <0.44.0> Application decimal started on node nonode@nohost
2020-04-26 05:15:06.080 [info] <0.44.0> Application db_connection started on node nonode@nohost
2020-04-26 05:15:06.228 [info] <0.44.0> Application postgrex started on node nonode@nohost
2020-04-26 05:15:06.280 [info] <0.44.0> Application ecto started on node nonode@nohost
2020-04-26 05:15:06.288 [info] <0.44.0> Application ecto_sql started on node nonode@nohost
2020-04-26 05:15:06.356 [info] <0.44.0> Application cowlib started on node nonode@nohost
2020-04-26 05:15:06.408 [info] <0.44.0> Application cowboy started on node nonode@nohost
2020-04-26 05:15:06.441 [info] <0.44.0> Application plug_cowboy started on node nonode@nohost
2020-04-26 05:15:06.471 [info] <0.44.0> Application phoenix_ecto started on node nonode@nohost
2020-04-26 05:15:07.537 [info] <0.44.0> Application microservice_2 started on node nonode@nohost
2020-04-26 06:31:43.577 [info] <0.60.0> SIGTERM received - shutting down
2020-04-26 06:39:34.397 [info] <0.44.0> Application lager started on node nonode@nohost
2020-04-26 06:39:34.432 [info] <0.44.0> Application xmerl started on node nonode@nohost
2020-04-26 06:39:34.576 [info] <0.44.0> Application sasl started on node nonode@nohost
2020-04-26 06:39:34.594 [info] <0.44.0> Application tools started on node nonode@nohost
2020-04-26 06:39:34.608 [info] <0.44.0> Application jsx started on node nonode@nohost
2020-04-26 06:39:34.717 [info] <0.44.0> Application ranch started on node nonode@nohost
2020-04-26 06:39:34.734 [info] <0.44.0> Application recon started on node nonode@nohost
2020-04-26 06:39:34.890 [info] <0.44.0> Application credentials_obfuscation started on node nonode@nohost
2020-04-26 06:39:34.891 [info] <0.44.0> Application rabbit_common started on node nonode@nohost
